school_name,school_type,osslt10,ossltchange,low_inc,no_deg,esl,imm
Renfrew Collegiate Institute,Public,79,16,10,10,0,0
Valour JK to 12 School - Secondary School,Public,57,-23,5,0,0,0
Banting Memorial District High School,Public,75,-13,8,5,2,1
Barrie North Collegiate Institute,Public,76,-1,17,6,5,2
Bear Creek Secondary School,Public,76,-3,9,3,7,1
Bradford District High School,Public,88,4,12,7,20,3
Collingwood Collegiate Institute,Public,89,2,15,7,3,1
Eastview Secondary School,Public,89,1,12,8,7,2
Elmvale District High School,Public,85,-8,10,0,0,0
Georgian Bay District Secondary School,Public,64,-9,12,5,2,1
Innisdale Secondary School,Public,79,-10,10,4,8,1
Nantyr Shores Secondary School,Public,84,-5,11,9,4,1
Nottawasaga Pines Secondary School,Public,65,-9,9,7,4,1
Orillia Secondary School,Public,82,6,11,7,3,1
Stayner Collegiate Institute,Public,71,-8,10,5,0,0
Twin Lakes Secondary School,Public,58,-15,12,6,2,0
Holy Trinity High School,Catholic,81,4,11,8,14,3
Jean Vanier Catholic High School,Catholic,81,8,15,5,5,0
Patrick Fogarty Secondary School,Catholic,76,-3,11,8,2,1
St Dominic Catholic Secondary School,Catholic,70,-2,10,0,5,5
St Joan of Arc High School,Catholic,70,-5,9,3,5,3
St Joseph's Separate School,Catholic,72,-8,14,9,4,3
