"REF_DATE","GEO","DGUID","Level of education","Expenditure Type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020/2021","Manitoba","2016A000246","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112232","9.4.7","7","","","","0"
"2020/2021","Saskatchewan","2016A000247","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112233","10.1.1","3198842","","","","0"
"2020/2021","Saskatchewan","2016A000247","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112234","10.1.2","97","","","","0"
"2020/2021","Saskatchewan","2016A000247","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112235","10.1.3","82","","","","0"
"2020/2021","Saskatchewan","2016A000247","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112236","10.1.4","65","","","","0"
"2020/2021","Saskatchewan","2016A000247","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112237","10.1.5","17","","","","0"
"2020/2021","Saskatchewan","2016A000247","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112238","10.1.6","18","","","","0"
"2020/2021","Saskatchewan","2016A000247","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112239","10.1.7","3","","","","0"
"2020/2021","Saskatchewan","2016A000247","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112240","10.2.1","1784008","","","","0"
"2020/2021","Saskatchewan","2016A000247","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112241","10.2.2","96","","","","0"
"2020/2021","Saskatchewan","2016A000247","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112242","10.2.3","66","","","","0"
"2020/2021","Saskatchewan","2016A000247","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112243","10.2.4","36","","","","0"
"2020/2021","Saskatchewan","2016A000247","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112244","10.2.5","31","","","","0"
"2020/2021","Saskatchewan","2016A000247","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112245","10.2.6","34","","","","0"
"2020/2021","Saskatchewan","2016A000247","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112246","10.2.7","4","","","","0"
"2020/2021","Saskatchewan","2016A000247","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112247","10.3.1","502910","","","","0"
"2020/2021","Saskatchewan","2016A000247","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112248","10.3.2","98","","","","0"
"2020/2021","Saskatchewan","2016A000247","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112249","10.3.3","68","","","","0"
"2020/2021","Saskatchewan","2016A000247","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112250","10.3.4","40","","","","0"
"2020/2021","Saskatchewan","2016A000247","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112251","10.3.5","28","","","","0"
"2020/2021","Saskatchewan","2016A000247","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112252","10.3.6","32","","","","0"
"2020/2021","Saskatchewan","2016A000247","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112253","10.3.7","2","","","","0"
"2020/2021","Saskatchewan","2016A000247","Bachelor's, master's, doctoral or equivalent","Total expenditure","Canadian dollars","47","thousands","3","v1278112254","10.4.1","1281098","","","","0"
"2020/2021","Saskatchewan","2016A000247","Bachelor's, master's, doctoral or equivalent","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112255","10.4.2","96","","","","0"
"2020/2021","Saskatchewan","2016A000247","Bachelor's, master's, doctoral or equivalent","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112256","10.4.3","65","","","","0"
"2020/2021","Saskatchewan","2016A000247","Bachelor's, master's, doctoral or equivalent","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112257","10.4.4","34","","","","0"
"2020/2021","Saskatchewan","2016A000247","Bachelor's, master's, doctoral or equivalent","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112258","10.4.5","32","","","","0"
"2020/2021","Saskatchewan","2016A000247","Bachelor's, master's, doctoral or equivalent","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112259","10.4.6","35","","","","0"
"2020/2021","Saskatchewan","2016A000247","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112260","10.4.7","4","","","","0"
"2020/2021","Alberta","2016A000248","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112261","11.1.1","9853016","","","","0"
"2020/2021","Alberta","2016A000248","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112262","11.1.2","95","","","","0"
"2020/2021","Alberta","2016A000248","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112263","11.1.3","83","","","","0"
"2020/2021","Alberta","2016A000248","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112264","11.1.4","75","","","","0"
"2020/2021","Alberta","2016A000248","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112265","11.1.5","8","","","","0"
"2020/2021","Alberta","2016A000248","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112266","11.1.6","17","","","","0"
"2020/2021","Alberta","2016A000248","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112267","11.1.7","5","","","","0"
"2020/2021","Alberta","2016A000248","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112268","11.2.1","6054315","","","","0"
"2020/2021","Alberta","2016A000248","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112269","11.2.2","96","","","","0"
"2020/2021","Alberta","2016A000248","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112270","11.2.3","66","","","","0"
"2020/2021","Alberta","2016A000248","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112271","11.2.4","34","","","","0"
"2020/2021","Alberta","2016A000248","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112272","11.2.5","31","","","","0"
"2020/2021","Alberta","2016A000248","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112273","11.2.6","34","","","","0"
"2020/2021","Alberta","2016A000248","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112274","11.2.7","4","","","","0"
"2020/2021","Alberta","2016A000248","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112275","11.3.1","2092578","","","","0"
"2020/2021","Alberta","2016A000248","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112276","11.3.2","97","","","","0"
"2020/2021","Alberta","2016A000248","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112277","11.3.3","65","","","","0"
"2020/2021","Alberta","2016A000248","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112278","11.3.4","35","","","","0"
"2020/2021","Alberta","2016A000248","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112279","11.3.5","31","","","","0"
"2020/2021","Alberta","2016A000248","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112280","11.3.6","35","","","","0"
"2020/2021","Alberta","2016A000248","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112281","11.3.7","3","","","","0"
